S No.,CHEMICAL CONSTITUENTS,BIOLOGICAL ACTIVITY,PubChem_CID,SMILES
1.0,"Bruceine B^1,2","Amebicide, Antimalarial, Antiplasmodial, Cytotoxic, Insecticide, Pesticide, Plasmodicide, Protisticide, Trypanocide^3",,
2.0,"Bruceine D^1,2","Amebicide, Anticancer, Antileukemic, Antimalarial, Antitumour, Cytotoxic, Pesticide, Plasmodicide, Protisticide, Trypanocide3, Antiphytoviral4",,
3.0,"Brusatol^1,2 ","Amebicide, Anticancer, Antifeedant, Antigiardial, Antileukemic, Antimalarial, Antitumor, Cytotoxic, Pesticide, Plasmodicide, Protisticide, Trypanocide3",,
4.0,"Bruceoside B^1,2",-,,
5.0,"Yadanziolide A^1,2","Antimalarial, Pesticide3",,
6.0,"Soulameanone 1,2",-,,
7.0,"11-Hydroxycanthin-6-one 1,2","Cytotoxic, Antileukemic",,
8.0,"Bruceolline A 1,2",-,,
9.0,"Bruceolline B 1,4",-,,
10.0,"Bruceolline C 1,2",-,,
11.0,"Bruceolline D 1,2",-,,
12.0,"Bruceolline E 1,2",-,,
13.0,"Bruceolline F 1,2",-,,
14.0,"Bruceolline G 1,2",-,,
15.0,"5,11-Dimethoxycanthin-6-one 1,2",-,,
16.0,11-Hydroxycanthin-6-one N-oxide 2,-,,
17.0,"11-hydroxy-1-methoxycanthin-6 1,5",-,,
18.0,"1-(Hydroxymethyl) ?-carboline 1,5",-,,
19.0,1-Ethyl- ?–carboline 5,"Antibacterial, CNS-Depressant, Hypotensive, Pesticide 3",,
20.0,"9H-pyridol3,4-lindole-1-ethanol 5",-,,
21.0,"? -Carboline-1-propionic acid 1,5",Camp inhibitor 3,,
22.0,"Canthin-6-one N –oxide 1,2",-,,
23.0,11-O-?-D-glucopyranosyl-(1-6)?-D,,,
24.0,"glucopyranosylcanthin-6-one 1,2",,,
25.0,5-O-?–Dglucopyranosyl-(1-6)-?-D,,,
26.0,"glucopyranosylcanthin-6-one 1,2",,,
27.0,"1-(2’-hydroxymethyl) ?-carboline 1,5",,,
28.0,Bruceollines H-N 122 6,,,
29.0,Bruceollines H-N 222 6,,,
30.0,Bruceollines H-N 322 6,,,
31.0,Bruceollines H-N 422 6,,,
32.0,Bruceollines H-N 522 6,,,
33.0,Bruceollines H-N 622 6,,,
34.0,Bruceollines H-N 722 6,,,
35.0,Yadanziolides T-V 10 22 6,Cytotoxic22 6,,
36.0,Yadanziolides T-V 1122 6,,,
37.0,Yadanziolides T-V 1222 6,,,
38.0,Bruceolline E22 6,,,
39.0,Bruceolline F22 6,,,
40.0,Bruceine D22 6,Cytotoxic22 6,,
41.0,"Canthin-6-one 1,7","Antibacterial, Antileukemic, Antimycotic, Antiseptic, Cytotoxic, Fungicide, Pesticide and Camp- inhibitor 3",,
42.0,Yadanziolide B22 6,Cytotoxic22 6,,
43.0,"1- Hydroxy-11-methoxycanthin-6-one 1,2",Cytotoxic 3,,
